代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
J,Jacobs Solutions,Industrials,138.37,16.34,46.12,0.41,8.0,34.5,106.0,-2.8
JNJ,Johnson & Johnson,Health Care,271.22,653.61,31.5,2.84,25.74,6.6,198.0,2.63
JCI,Johnson Controls,Industrials,150.2,90.98,42.31,1.66,14.33,9.3,110.0,3.82
JPM,JPMorgan Chase,Financials,343.06,911.92,14.7,1.57,17.79,30.4,195.0,-2.91
KVUE,Kenvue,Consumer Staples,17.8,34.19,20.94,1.4,15.58,3.0,477.0,-3.82
KDP,Keurig Dr Pepper,Consumer Staples,31.95,43.48,32.27,0.95,5.1,75.6,298.0,2.41
KEY,KeyCorp,Financials,20.61,21.99,12.05,1.32,10.33,10.1,405.0,-6.23
KEYS,Keysight Technologies,Information Technology,362.15,61.65,48.94,0.71,20.9,36.5,0.0,9.92
KMB,Kimberly-Clark,Consumer Staples,98.43,32.74,19.45,1.99,104.91,0.6,527.0,-6.65
KIM,Kimco Realty,Real Estate,22.44,15.05,26.09,3.37,5.81,4.9,503.0,-6.58
KMI,Kinder Morgan,Energy,30.75,68.47,19.84,3.19,10.99,10.8,378.0,-2.7
KKR,KKR & Co.,Financials,96.67,86.77,30.88,0.41,7.28,7.8,82.0,-6.88
KLAC,KLA Corporation,Information Technology,187.92,245.24,51.2,1.79,87.5,15.2,49.0,-0.46
KHC,Kraft Heinz,Consumer Staples,23.63,28.02,,0.99,-8.76,-1.4,671.0,-5.48
KR,Kroger,Consumer Staples,58.74,34.69,31.75,0.58,14.44,2.0,265.0,1.58
LHX,L3Harris,Industrials,237.69,44.26,24.01,1.18,9.34,8.4,210.0,-11.64
LH,Labcorp,Health Care,309.64,25.11,25.59,1.2,11.73,5.8,93.0,-2.16
LRCX,Lam Research,Information Technology,315.21,394.43,54.82,1.43,65.07,30.0,43.0,3.59
LVS,Las Vegas Sands,Consumer Discretionary,38.99,25.25,15.11,0.82,122.87,-0.7,310.0,-12.57
LDOS,Leidos,Industrials,123.61,15.55,11.54,2.46,27.78,7.2,139.0,-3.97
LEN,Lennar,Consumer Discretionary,82.15,19.79,15.56,11.3,5.96,-8.7,245.0,-1.98
LII,Lennox International,Industrials,373.77,12.92,16.6,0.93,71.76,3.0,148.0,-10.93
LLY,Lilly (Eli),Health Care,1183.46,1055.34,39.74,1.17,102.29,47.7,59.0,0.57
LIN,Linde plc,Materials,469.89,216.61,30.32,1.81,18.4,9.3,137.0,-2.71
LYV,Live Nation Entertainment,Communication Services,170.87,39.81,,4.46,17.68,9.4,0.0,-4.08
LMT,Lockheed Martin,Industrials,519.56,119.91,19.15,0.99,89.17,10.5,264.0,-6.4
L,Loews Corporation,Financials,104.82,21.43,12.86,1.32,9.31,3.9,24.0,-6.16
LOW,Lowe's,Consumer Discretionary,189.28,106.2,15.99,2.23,,8.3,265.0,-8.56
LULU,Lululemon Athletica,Consumer Discretionary,101.3,11.21,8.34,1.11,30.9,-4.3,0.0,-10.93
LITE,Lumentum,Information Technology,941.65,84.47,,0.63,-240.03,109.3,0.0,9.61
LYB,LyondellBasell,Materials,58.14,18.78,,1.53,-2.27,19.8,459.0,-6.66
MTB,M&T Bank,Financials,221.19,32.06,11.71,1.33,10.74,6.2,274.0,-8.09
MPC,Marathon Petroleum,Energy,393.52,114.88,13.64,0.9,42.1,53.7,102.0,10.49
MAR,Marriott International,Consumer Discretionary,352.03,91.8,36.4,1.76,,11.1,83.0,-0.12
MRSH,Marsh McLennan,Financials,171.12,81.66,20.87,1.49,25.9,6.2,233.0,-7.35
MLM,Martin Marietta Materials,Materials,484.3,34.39,31.53,1.79,8.89,21.0,70.0,-8.31
MRVL,Marvell Technology,Information Technology,261.93,235.4,86.45,1.38,16.52,36.5,9.0,18.75
MAS,Masco,Industrials,68.85,13.58,15.86,1.54,5862.5,-2.9,190.0,-5.64
MA,Mastercard,Financials,567.65,497.27,31.19,1.48,241.2,14.1,61.0,-0.21
MKC,McCormick & Company,Consumer Staples,47.94,12.89,7.98,1.85,24.73,16.7,402.0,-8.18
MCD,McDonald's,Consumer Discretionary,236.5,167.36,19.23,2.05,,3.7,326.0,-9.49
MCK,McKesson Corporation,Health Care,866.64,101.04,23.27,1.64,,7.7,43.0,-0.7
MDT,Medtronic,Health Care,88.64,113.38,21.83,1.59,10.65,13.7,325.0,-0.92
MRK,Merck & Co.,Health Care,148.78,367.07,119.02,2.7,6.96,5.1,230.0,6.49
META,Meta Platforms,Communication Services,751.66,1914.86,28.34,1.03,29.85,28.0,27.0,22.16
MET,MetLife,Financials,97.7,62.09,18.72,0.51,13.09,10.5,244.0,1.63
MTD,Mettler Toledo,Health Care,1511.64,30.29,34.11,2.82,,4.5,0.0,8.97
MGM,MGM Resorts,Consumer Discretionary,32.58,8.34,19.75,0.42,18.92,1.0,0.0,-23.25
MCHP,Microchip Technology,Information Technology,78.69,42.73,114.04,0.22,7.19,38.0,244.0,3.69
MU,Micron Technology,Information Technology,1082.28,1222.32,24.49,0.16,66.64,345.7,5.0,14.94
MSFT,Microsoft,Information Technology,516.17,3832.84,28.72,1.62,34.04,17.7,79.0,8.58
MAA,Mid-America Apartment Communities,Real Estate,118.35,13.73,34.61,7.03,7.05,1.0,522.0,-8.49
MRNA,Moderna,Health Care,198.88,79.4,,,-39.0,2.1,0.0,80.62
MDLZ,Mondelez International,Consumer Staples,60.25,77.34,22.07,0.9,13.34,4.1,342.0,-2.98
MPWR,Monolithic Power Systems,Information Technology,1367.43,67.2,83.23,1.0,21.98,47.6,60.0,4.88
MNST,Monster Beverage,Consumer Staples,43.11,84.45,39.92,2.19,25.7,20.2,0.0,-6.37
MCO,Moody's Corporation,Financials,468.7,81.17,29.7,1.63,76.93,15.1,88.0,-3.32
MS,Morgan Stanley,Financials,196.31,308.32,15.86,1.73,17.97,28.0,234.0,-7.26
MOS,Mosaic Company (The),Materials,23.01,7.31,,2.02,-5.07,-6.0,371.0,-1.91
MSI,Motorola Solutions,Information Technology,456.88,75.61,36.0,2.0,91.57,13.3,106.0,0.13
MSCI,MSCI,Financials,551.36,40.08,30.72,1.89,,12.2,147.0,-2.32
NDAQ,"Nasdaq, Inc.",Financials,93.55,52.29,27.27,1.75,16.52,14.9,123.0,-1.11
NTAP,NetApp,Information Technology,201.15,39.51,28.41,2.19,114.82,29.9,105.0,7.3
NFLX,Netflix,Communication Services,71.14,296.24,22.37,1.23,49.54,13.4,0.0,-5.81
NEM,Newmont,Materials,121.43,127.95,15.31,2.78,25.91,15.1,86.0,5.28
NWSA,News Corp (Class A),Communication Services,28.49,15.38,27.39,2.55,7.98,10.8,70.0,-2.28
NWS,News Corp (Class B),Communication Services,31.75,17.14,30.83,2.83,7.98,10.8,63.0,-3.41
NEE,NextEra Energy,Utilities,76.08,158.67,17.1,1.53,11.68,12.4,330.0,-9.37
NKE,"Nike, Inc.",Consumer Discretionary,35.75,52.94,17.02,1.41,22.14,-1.1,456.0,-9.28
NI,NiSource,Utilities,39.42,18.9,20.97,2.01,8.55,4.6,307.0,-6.8
NDSN,Nordson Corporation,Industrials,325.77,18.15,32.94,1.84,17.76,10.3,116.0,4.87
NSC,Norfolk Southern,Industrials,313.0,70.3,26.71,3.7,16.98,11.4,172.0,-6.09
NTRS,Northern Trust,Financials,175.73,32.15,15.1,0.99,17.07,36.4,188.0,-3.88
NOC,Northrop Grumman,Industrials,510.52,72.53,16.22,3.37,26.96,5.1,194.0,-5.43
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,14.61,6.71,8.85,1.19,36.73,4.9,0.0,-15.25
NRG,NRG Energy,Utilities,100.37,21.1,26.14,0.38,23.77,11.0,194.0,-14.91
NUE,Nucor,Materials,247.25,56.1,19.75,5.21,14.55,23.0,90.0,-3.24
NVDA,Nvidia,Information Technology,225.07,5434.77,28.45,0.48,117.21,105.9,45.0,4.3
NVR,"NVR, Inc.",Consumer Discretionary,6297.6,16.78,16.37,4.97,31.54,-10.9,0.0,-0.1
NXPI,NXP Semiconductors,Information Technology,238.08,60.04,20.31,0.46,27.92,19.5,176.0,1.25
ORLY,O'Reilly Automotive,Consumer Discretionary,86.11,69.66,27.34,1.62,,8.1,0.0,-2.63
OXY,Occidental Petroleum,Energy,56.86,56.84,16.77,1.16,10.63,53.4,193.0,-2.25
ODFL,Old Dominion,Industrials,173.3,35.93,33.33,2.13,24.82,10.4,66.0,-14.17
OMC,Omnicom Group,Communication Services,76.15,21.7,205.81,15.97,6.05,63.4,428.0,-6.76
ON,ON Semiconductor,Information Technology,77.2,30.06,50.46,0.16,8.31,9.2,0.0,-0.68
OKE,Oneok,Energy,88.63,55.87,15.31,1.72,16.28,52.8,469.0,-4.21
ORCL,Oracle Corporation,Information Technology,137.1,414.55,21.49,0.78,41.19,29.6,143.0,-3.62
OTIS,Otis Worldwide,Industrials,65.94,25.1,16.95,2.17,,7.3,264.0,-7.05
PCAR,Paccar,Industrials,111.31,58.59,23.43,0.82,12.76,0.5,127.0,-11.84
PKG,Packaging Corporation of America,Materials,237.18,21.13,30.84,1.53,14.89,14.7,252.0,-1.83
PLTR,Palantir Technologies,Information Technology,189.67,455.79,162.11,1.85,38.1,92.8,0.0,15.7
PANW,Palo Alto Networks,Information Technology,374.74,306.54,960.87,1.99,1.74,34.5,0.0,5.11
PSKY,Paramount Skydance Corporation,Communication Services,9.96,11.15,332.0,0.73,-0.9,0.9,196.0,2.28
PH,Parker Hannifin,Industrials,978.33,123.38,34.36,3.27,25.08,9.8,82.0,-0.85
PAYX,Paychex,Industrials,101.37,36.09,20.11,1.79,47.05,5.9,469.0,-14.24
PYPL,PayPal,Financials,55.04,47.08,10.4,0.93,24.5,4.8,106.0,-2.91
PNR,Pentair,Industrials,53.66,8.67,13.83,0.85,17.13,-17.0,204.0,-13.32
PEP,PepsiCo,Consumer Staples,128.63,175.57,16.88,1.31,51.51,6.4,462.0,-5.98
PFE,Pfizer,Health Care,28.67,163.41,37.72,12.99,5.01,2.6,605.0,6.42
PCG,PG&E Corporation,Utilities,12.34,37.05,8.88,0.51,9.32,0.1,162.0,-22.94
PM,Philip Morris International,Consumer Staples,190.48,296.88,26.16,2.3,,10.4,334.0,0.21
PSX,Phillips 66,Energy,255.75,102.05,14.59,0.82,23.45,53.1,199.0,8.7
PNW,Pinnacle West Capital,Utilities,91.74,11.12,17.61,3.5,9.37,7.1,400.0,-7.31
PNC,PNC Financial Services,Financials,225.64,90.03,12.43,1.57,12.62,23.6,358.0,-7.88
PPG,PPG Industries,Materials,107.52,23.9,15.43,1.52,19.3,7.2,278.0,-3.95
PPL,PPL Corporation,Utilities,32.03,24.1,18.95,1.17,8.63,4.2,357.0,-7.27
PFG,Principal Financial Group,Financials,114.77,24.57,16.35,1.06,12.95,6.4,294.0,1.67
PG,Procter & Gamble,Consumer Staples,146.23,339.9,22.12,3.73,30.29,1.5,299.0,0.25
PGR,Progressive Corporation,Financials,205.5,119.27,10.31,62.0,34.94,7.3,20.0,-4.04
PLD,Prologis,Real Estate,133.05,126.44,29.57,116.49,7.75,12.3,320.0,-4.59
PRU,Prudential Financial,Financials,119.45,41.21,10.83,0.69,12.01,14.1,472.0,-0.28
PEG,Public Service Enterprise Group,Utilities,67.02,33.4,16.67,3.15,11.83,-8.9,403.0,-9.11
PTC,PTC Inc.,Information Technology,138.12,14.99,13.4,1.29,35.05,-6.8,0.0,-1.36
PSA,Public Storage,Real Estate,287.97,53.81,27.5,3.81,21.93,3.3,422.0,-7.07
PHM,PulteGroup,Consumer Discretionary,119.85,22.83,12.24,0.99,14.9,-9.6,88.0,-4.54
PWR,Quanta Services,Industrials,649.13,97.59,74.19,1.45,15.34,41.1,7.0,1.2
QCOM,Qualcomm,Information Technology,201.97,215.72,23.11,0.86,33.75,-4.0,189.0,19.06
DGX,Quest Diagnostics,Health Care,236.32,26.08,25.11,1.54,14.6,10.2,145.0,0.26
Q,Qnity Electronics,Information Technology,124.69,26.09,44.53,1.29,6.72,22.1,26.0,-3.0
RL,Ralph Lauren Corporation,Consumer Discretionary,357.1,21.28,21.59,1.89,37.54,14.0,114.0,-2.19
RJF,Raymond James Financial,Financials,159.87,30.75,13.95,0.78,18.42,15.1,136.0,-7.77
RDDT,Reddit,Communication Services,149.84,28.83,34.77,0.76,30.71,61.1,0.0,-6.06
RTX,RTX Corporation,Industrials,189.4,255.27,33.35,2.19,12.27,14.5,155.0,-8.66
O,Realty Income,Real Estate,55.54,52.55,40.54,2.8,3.23,9.6,588.0,-9.62
REG,Regency Centers,Real Estate,73.23,13.41,24.66,2.61,8.19,8.9,414.0,-4.04
REGN,Regeneron Pharmaceuticals,Health Care,788.04,81.13,19.49,1.31,14.04,16.7,47.0,1.5
RF,Regions Financial Corporation,Financials,27.62,23.53,11.23,1.45,11.87,3.4,402.0,-8.44
RSG,Republic Services,Industrials,212.1,64.95,30.04,2.74,18.15,4.6,126.0,-2.53
RMD,ResMed|,Health Care,222.0,32.02,21.28,1.29,24.27,8.6,119.0,0.72
RVTY,Revvity,Health Care,151.11,16.86,72.65,0.73,3.21,1.3,19.0,22.17
HOOD,Robinhood Markets,Financials,119.4,107.35,52.83,2.11,23.62,32.3,0.0,14.54
ROK,Rockwell Automation,Industrials,434.15,48.21,40.61,1.91,30.63,7.9,128.0,-1.19
ROL,"Rollins, Inc.",Industrials,30.03,14.45,27.3,2.44,37.01,7.9,240.0,-17.75
ROP,Roper Technologies,Information Technology,358.56,35.46,14.95,1.43,13.07,8.5,100.0,-8.26
ROST,Ross Stores,Consumer Discretionary,236.12,75.43,28.59,2.52,42.63,13.3,76.0,-0.62
RCL,Royal Caribbean Group,Consumer Discretionary,242.7,64.91,14.99,0.97,44.67,6.5,251.0,-14.2
SPGI,S&P Global,Financials,403.3,118.89,24.58,1.93,14.26,10.4,96.0,-4.22
CRM,Salesforce,Information Technology,234.02,192.6,21.41,0.8,19.38,10.8,74.0,9.68
SNDK,Sandisk,Information Technology,1777.8,260.3,24.08,,91.64,371.6,0.0,17.21
SBAC,SBA Communications,Real Estate,166.15,17.63,17.92,9.64,,2.3,301.0,-8.33
SLB,Schlumberger,Energy,51.54,76.49,25.39,1.36,12.91,5.0,229.0,-1.8
STX,Seagate Technology,Information Technology,916.83,208.48,66.15,0.52,371.53,48.5,33.0,7.98
SRE,Sempra,Utilities,77.93,50.96,22.92,0.64,6.68,-0.1,338.0,-8.05
NOW,ServiceNow,Information Technology,135.62,140.21,84.76,0.99,14.24,24.0,0.0,7.82
SHW,Sherwin-Williams,Materials,329.1,79.89,30.39,2.06,65.12,7.5,100.0,-2.67
SPG,Simon Property Group,Real Estate,204.82,66.27,14.45,4.58,120.51,19.5,435.0,-5.05
SWKS,Skyworks Solutions,Information Technology,89.34,13.44,46.29,12.43,5.09,-3.1,413.0,24.5
SJM,J.M. Smucker Company (The),Consumer Staples,121.0,12.93,56.54,2.17,3.93,5.0,368.0,-0.56
SW,Smurfit Westrock,Materials,46.41,24.34,49.37,0.26,2.71,1.1,393.0,-0.21
SNA,Snap-on,Industrials,369.2,19.1,18.84,1.88,17.93,4.2,265.0,-6.0
SOLV,Solventum,Health Care,89.5,15.24,10.94,1.22,33.96,2.2,0.0,2.69
SO,Southern Company,Utilities,82.88,95.34,20.12,1.96,11.48,0.1,367.0,-8.12
LUV,Southwest Airlines,Industrials,42.68,20.88,26.68,0.2,11.1,16.4,173.0,0.13
SWK,Stanley Black & Decker,Industrials,91.4,13.8,22.35,1.39,6.89,0.4,373.0,-3.44
SBUX,Starbucks,Consumer Discretionary,94.86,108.14,54.83,1.11,,-1.4,265.0,-7.92
STT,State Street Corporation,Financials,181.34,49.81,15.99,0.68,12.44,18.4,203.0,-2.97
STLD,Steel Dynamics,Materials,233.66,33.49,21.18,11.95,17.57,33.4,90.0,-4.16
STE,Steris,Health Care,208.93,20.37,25.54,1.74,11.39,7.3,124.0,-6.65
SYK,Stryker Corporation,Health Care,272.36,104.47,28.19,1.26,16.51,9.4,130.0,-13.62
SMCI,Supermicro,Information Technology,43.26,27.98,13.27,0.91,21.47,93.2,0.0,23.49
SYF,Synchrony Financial,Financials,72.94,23.73,7.48,0.88,20.79,0.6,190.0,-4.96
SNPS,Synopsys,Information Technology,425.76,81.59,74.17,2.28,3.66,42.4,0.0,6.25
SYY,Sysco,Consumer Staples,78.46,37.63,21.44,1.47,77.69,4.7,281.0,-4.49
TMUS,T-Mobile US,Communication Services,165.43,177.45,17.3,0.58,17.99,7.9,247.0,-7.17
TROW,T. Rowe Price,Financials,105.51,22.51,10.59,2.15,19.4,10.7,499.0,-4.21
TTWO,Take-Two Interactive,Communication Services,201.44,37.67,,2.78,-9.04,2.0,0.0,-12.16
TPR,"Tapestry, Inc.",Consumer Discretionary,113.88,22.71,15.66,1.6,197.13,8.9,165.0,-14.2
TRGP,Targa Resources,Energy,277.84,59.58,26.59,1.25,70.84,4.2,177.0,-1.36
TGT,Target Corporation,Consumer Staples,157.45,71.53,16.35,1.94,26.41,5.3,297.0,2.64
TEL,TE Connectivity,Information Technology,218.59,63.38,21.41,0.91,23.29,13.8,146.0,5.28
TDY,Teledyne Technologies,Information Technology,614.15,28.47,29.68,1.4,9.15,9.8,0.0,-3.58
TER,Teradyne,Information Technology,398.38,62.28,54.65,0.71,36.46,103.9,13.0,7.99
TSLA,"Tesla, Inc.",Consumer Discretionary,372.11,1469.67,338.28,4.52,4.67,25.5,0.0,6.85
TXN,Texas Instruments,Information Technology,278.07,253.95,42.26,0.96,35.18,22.8,225.0,2.72
TPL,Texas Pacific Land Corporation,Energy,341.07,23.53,43.45,7.33,36.57,31.2,71.0,-8.66
TXT,Textron,Industrials,76.59,13.17,14.42,0.89,12.13,3.0,11.0,-9.45
TMO,Thermo Fisher Scientific,Health Care,675.0,249.58,36.37,2.02,13.51,10.5,28.0,11.78
TJX,TJX Companies,Consumer Discretionary,130.06,143.68,24.09,2.57,62.17,5.4,146.0,-9.08
TKO,TKO Group Holdings,Communication Services,182.67,13.36,64.09,1.55,7.06,18.2,171.0,-2.8
TSCO,Tractor Supply,Consumer Discretionary,32.27,16.81,16.81,1.98,39.51,2.3,305.0,-2.95
TT,Trane Technologies,Industrials,454.44,99.99,33.86,1.55,36.64,10.6,96.0,-0.17
TDG,TransDigm Group,Industrials,1116.2,61.7,33.89,3.05,,22.5,0.0,-6.22
TRV,Travelers Companies (The),Financials,363.04,75.72,9.75,2.36,26.51,0.3,138.0,-2.32
TRMB,Trimble Inc.,Information Technology,57.85,13.49,,1.36,-1.94,11.0,0.0,0.32
TFC,Truist Financial,Financials,47.66,58.22,10.96,1.08,9.06,8.2,441.0,-5.97
TYL,Tyler Technologies,Information Technology,325.57,13.33,42.73,1.36,9.73,8.2,0.0,-2.55
TSN,Tyson Foods,Consumer Staples,50.92,17.91,31.43,1.04,3.26,-0.1,399.0,-8.37
USB,U.S. Bancorp,Financials,59.33,92.44,11.84,1.76,12.62,10.4,370.0,-5.37
UBER,Uber,Industrials,69.62,142.2,15.27,5.9,37.16,12.2,0.0,-5.02
UDR,"UDR, Inc.",Real Estate,33.84,10.87,21.42,8.17,13.74,-0.1,516.0,-8.34
ULTA,Ulta Beauty,Consumer Discretionary,545.2,23.31,19.87,1.98,46.12,8.9,0.0,3.17
UNP,Union Pacific Corporation,Industrials,273.79,162.65,22.15,2.72,39.7,11.5,207.0,-6.25
UAL,United Airlines Holdings,Industrials,113.99,37.0,10.66,6.5,23.25,16.0,0.0,-2.01
UPS,United Parcel Service,Industrials,93.96,79.94,17.46,1.31,29.6,7.6,713.0,-9.13
URI,United Rentals,Industrials,1047.06,65.17,24.85,1.33,28.89,11.8,77.0,-1.74
UNH,UnitedHealth Group,Health Care,376.59,338.03,24.2,1.02,14.15,0.4,247.0,-5.24
UHS,Universal Health Services,Health Care,178.86,10.54,7.3,1.19,20.95,8.3,45.0,5.24
VLO,Valero Energy,Energy,387.18,111.48,16.15,1.89,27.64,51.7,125.0,11.79
VEEV,Veeva Systems,Health Care,280.68,45.44,46.01,1.22,14.42,17.6,0.0,16.14
VTR,Ventas,Real Estate,86.59,44.42,157.44,4.95,2.01,21.7,240.0,-5.75
VLTO,Veralto,Industrials,97.14,23.68,24.47,2.28,34.31,7.5,54.0,0.95
VRSN,Verisign,Information Technology,287.25,25.97,31.19,2.15,,6.0,111.0,-0.06
VRSK,Verisk Analytics,Industrials,169.21,22.02,25.99,1.42,,4.4,119.0,-9.37
VZ,Verizon,Communication Services,47.08,195.61,12.26,0.84,15.84,-0.7,598.0,-2.1
VRTX,Vertex Pharmaceuticals,Health Care,526.19,133.37,30.61,1.92,23.54,12.5,0.0,2.31
VRT,Vertiv,Industrials,253.28,97.51,57.17,0.83,43.94,24.1,10.0,-4.74
VTRS,Viatris,Health Care,17.83,20.48,,3.17,-2.75,4.9,276.0,6.0
VICI,Vici Properties,Real Estate,23.51,25.89,9.11,,9.85,5.7,791.0,-7.2
V,Visa Inc.,Financials,367.38,689.7,31.29,1.67,61.19,14.4,73.0,-0.11
VST,Vistra Corp.,Utilities,138.46,46.47,23.35,0.34,42.96,-5.5,67.0,-4.76
VMRK,Vivmark Residential,Real Estate,61.51,47.6,23.57,7.17,8.49,3.3,418.0,-6.35
VMC,Vulcan Materials Company,Materials,245.0,31.75,29.2,1.63,13.23,2.5,86.0,-8.76
WRB,W. R. Berkley Corporation,Financials,66.82,24.81,13.75,4.43,20.21,1.2,59.0,-5.11
GWW,W. W. Grainger,Industrials,1243.07,58.69,31.66,1.74,46.09,10.3,78.0,-5.28
WAB,Wabtec,Industrials,288.0,48.65,38.76,1.37,11.55,17.5,43.0,-0.33
WMT,Walmart,Consumer Staples,107.98,856.69,39.12,4.13,22.31,5.9,92.0,-1.16
DIS,Walt Disney Company (The),Communication Services,106.15,183.29,21.89,3.44,8.01,6.8,142.0,2.57
WBD,Warner Bros. Discovery,Communication Services,30.86,77.37,,55.18,-8.79,-11.2,0.0,11.25
WM,Waste Management,Industrials,206.83,82.67,29.25,1.9,29.84,4.0,182.0,-6.95
WAT,Waters Corporation,Health Care,433.54,42.57,109.48,1.6,1.92,113.4,0.0,7.42
WEC,WEC Energy Group,Utilities,101.45,33.06,19.7,1.98,11.99,2.6,378.0,-5.54
WFC,Wells Fargo,Financials,82.97,250.9,12.06,1.39,12.57,9.5,243.0,-4.27
WELL,Welltower,Real Estate,231.37,166.72,103.75,3.66,3.84,39.1,146.0,-2.32
WST,West Pharmaceutical Services,Health Care,370.44,26.07,46.95,2.91,19.09,13.8,24.0,5.72
WDC,Western Digital,Information Technology,456.81,164.7,16.96,0.86,130.85,43.8,13.0,-3.59
WY,Weyerhaeuser,Real Estate,20.01,14.42,30.32,1.86,4.97,-0.9,417.0,-14.46
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,231.9,27.31,23.81,2.6,54.96,6.7,133.0,-0.4
WMB,Williams Companies,Energy,69.26,84.72,27.59,2.03,21.5,7.8,298.0,-4.08
WTW,Willis Towers Watson,Financials,293.99,27.3,18.2,1.27,19.76,9.1,131.0,-9.13
WDAY,"Workday, Inc.",Information Technology,189.45,45.66,38.58,0.7,16.01,12.8,0.0,4.71
WYNN,Wynn Resorts,Consumer Discretionary,81.12,8.35,19.45,0.71,,6.9,125.0,-14.06
XEL,Xcel Energy,Utilities,69.8,43.6,19.12,1.75,9.92,-5.1,341.0,-8.39
XYL,Xylem Inc.,Industrials,102.63,23.96,24.44,1.25,9.18,1.5,168.0,-9.73
YUM,Yum! Brands,Consumer Discretionary,138.63,37.83,17.44,1.71,,12.2,218.0,-5.79
ZBRA,Zebra Technologies,Information Technology,370.04,17.63,33.89,0.61,15.29,20.4,0.0,8.93
ZBH,Zimmer Biomet,Health Care,91.04,17.36,22.1,0.56,6.41,4.8,107.0,-5.25
ZTS,Zoetis,Health Care,71.05,29.36,11.59,6.54,64.91,-0.2,302.0,-5.16
