代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
BIIB,Biogen,Health Care,227.6,33.63,40.5,2.33,4.58,3.4,0.0,6.88
BLK,BlackRock,Financials,1086.31,168.24,26.01,0.9,12.28,30.6,214.0,-1.62
BX,Blackstone Inc.,Financials,118.42,88.89,26.49,1.07,31.37,28.6,446.0,-11.17
XYZ,"Block, Inc.",Financials,76.42,45.91,136.46,0.59,1.61,9.3,0.0,-4.65
BE,Bloom Energy,Industrials,288.7,85.03,374.94,0.6,22.21,165.5,0.0,25.7
BNY,BNY Mellon,Financials,150.15,101.88,17.52,1.14,14.12,13.1,148.0,-5.35
BA,Boeing,Industrials,198.07,156.55,71.51,1.47,173.54,8.0,0.0,-7.6
BKNG,Booking Holdings,Consumer Discretionary,163.95,127.04,18.22,0.58,,8.1,107.0,-14.11
BSX,Boston Scientific,Health Care,43.92,63.65,17.78,0.63,15.34,7.5,0.0,-6.31
BMY,Bristol Myers Squibb,Health Care,62.86,128.41,13.85,17.12,46.6,5.7,410.0,-2.32
AVGO,Broadcom,Information Technology,352.81,1684.18,44.94,0.35,44.25,85.5,74.0,-6.17
BR,Broadridge Financial Solutions,Industrials,163.77,18.94,17.06,1.77,40.92,7.5,268.0,-1.56
BRO,Brown & Brown,Financials,60.82,20.35,19.43,1.51,10.02,32.4,109.0,-12.16
BF-B,Brown–Forman,Consumer Staples,26.16,12.0,16.88,1.98,18.12,-1.4,355.0,-3.48
BG,Bunge Global,Consumer Staples,109.0,20.94,23.49,1.37,7.18,88.3,261.0,-5.09
BXP,"BXP, Inc.",Real Estate,63.4,10.12,34.09,2.31,5.31,3.7,450.0,-6.06
CHRW,C.H. Robinson,Industrials,147.1,17.19,28.13,1.78,37.12,19.3,172.0,-5.99
CDNS,Cadence Design Systems,Information Technology,326.13,89.81,64.97,2.46,23.23,24.2,0.0,2.44
CPT,Camden Property Trust,Real Estate,98.12,11.36,32.38,9.17,7.89,-0.8,435.0,-8.58
COF,Capital One,Financials,200.2,122.82,11.27,0.17,9.03,1111.0,163.0,-5.44
CAH,Cardinal Health,Health Care,220.22,50.99,30.42,1.12,,5.8,93.0,-5.37
CCL,Carnival Corporation,Consumer Discretionary,22.25,30.47,10.02,0.76,26.69,5.3,207.0,-12.31
CARR,Carrier Global,Industrials,56.37,46.82,40.26,1.07,8.97,3.9,175.0,-7.2
CVNA,Carvana,Consumer Discretionary,65.06,46.84,34.42,,58.77,52.4,0.0,-5.54
CASY,Casey's,Consumer Staples,598.46,22.12,28.84,2.7,19.98,24.3,43.0,-22.34
CAT,Caterpillar Inc.,Industrials,821.58,377.66,35.43,1.41,56.97,24.0,81.0,-0.92
CBOE,Cboe Global Markets,Financials,258.03,26.95,20.1,2.37,26.3,22.9,129.0,-10.49
CBRE,CBRE Group,Real Estate,134.55,38.96,30.79,0.73,15.8,15.5,0.0,-7.09
